Beacon1,Beacon2,Beacon3,Beacon4,Beacon5,Beacon6,Beacon7,Beacon8,Beacon9,Beacon10,Target
-87.98948135,-74.45067387,-94.9886041,-86.97927011,,-74.45067387,-87.98948135,-89.86502141,-89.86502141,-96.98796321,0
-80.58041212,,-88.1994304,-87.98948135,,,-80.58041212,-88.53410948,-88.53410948,-101.9842101,0
,-90.864956,,,-96.34965521,-90.864956,,-91.98915073,-91.98915073,,0
-80.65771352,-83.98961298,-89.98935344,,-88.98942473,-83.98961298,-80.65771352,,,-95.98832037,0
-77.016459,,-84.45060852,-87.65759189,,,-77.016459,,,-99.9862353,0
-80.68632234,-73.48198516,-88.53410948,-101.9842101,-93.98882948,-73.48198516,-80.68632234,-88.991067,-88.991067,-95.98832037,0
,,,-100.9853386,-95.98832037,,,-80.98965641,-80.98965641,-90.98926371,0
,-80.98965641,-83.57571383,-88.98942473,,-80.98965641,,-86.98952633,-86.98952633,,0
-83.4109913,-79.7963647,-90.19083264,-83.90271574,-96.98796321,-79.7963647,-83.4109913,-85.94273348,-85.94273348,,0
-82.34185762,,-87.60673626,-96.22425893,,,-82.34185762,-94.9886041,-94.9886041,-99.9862353,0
-77.45066665,,-75.79637966,-96.98796321,-90.98926371,,-77.45066665,-95.98832037,-95.98832037,,0
,-94.9886041,-92.35826224,,-92.97888266,-94.9886041,,-80.22532397,-80.22532397,,0
-89.98935344,,-91.98915073,,,,-89.98935344,-85.79629058,-85.79629058,-99.9862353,0
-88.35060146,,-94.35007016,-88.97919409,-89.09548658,,-88.35060146,-91.97898907,-91.97898907,,0
-81.19099131,-75.98968624,,,-95.98832037,-75.98968624,-81.19099131,,,,0
-77.44492819,-85.98956206,-85.09557149,-92.98900852,-94.9886041,-85.98956206,-77.44492819,-88.72378205,-88.72378205,-95.98832037,0
-80.45065223,,-98.98694767,-99.9862353,-94.79560336,,-80.45065223,-93.98882948,-93.98882948,,0
,,-90.79607655,-95.98832037,,,,-90.98926371,-90.98926371,,0
-84.85890266,-83.98961298,-89.98935344,-87.98948135,-93.53370747,-83.98961298,-84.85890266,-92.53382839,-92.53382839,-92.98900852,0
,,-83.97933494,-85.98956206,-91.98915073,,,,,,0
-85.68630034,-94.9886041,-94.44995508,-101.9842101,,-94.9886041,-85.68630034,,,,0
-73.64873926,-88.98942473,-83.13302106,-90.74552499,-96.98796321,-88.98942473,-73.64873926,-86.39010538,-86.39010538,-88.86507336,0
-76.45066962,-83.97933494,-80.86525281,,-89.53406134,-83.97933494,-76.45066962,-97.98751362,-97.98751362,-100.9853386,0
-81.34186375,-75.79637966,-81.09560529,-87.97923646,-89.79614093,-75.79637966,-81.34186375,-99.9862353,-99.9862353,-95.98832037,0
-77.45066665,,-85.97929684,-92.45022301,-95.98832037,,-77.45066665,-93.98882948,-93.98882948,-97.98751362,0
-82.85444054,-78.0164556,-91.98915073,-90.98926371,-93.4501044,-78.0164556,-82.85444054,-95.98832037,-95.98832037,,0
-86.66057209,,-94.9886041,-94.38042147,-94.9886041,,-86.66057209,-96.98796321,-96.98796321,-101.9842101,0
-86.98952633,-81.98964511,-88.81658219,,-92.53398405,-81.98964511,-86.98952633,-91.35042407,-91.35042407,,0
-69.70153192,,-94.9886041,-89.77706848,,,-69.70153192,,,,0
-82.74913827,-76.26255061,-84.47106933,-78.46548255,-95.98832037,-76.26255061,-82.74913827,-87.68057263,-87.68057263,,0
-91.98915073,-85.98956206,,-84.97931808,-86.98952633,-85.98956206,-91.98915073,-83.45062346,-83.45062346,-90.98926371,0
-78.95805587,-72.22534707,-93.9890471,-96.98796321,-93.53370747,-72.22534707,-78.95805587,-92.98900852,-92.98900852,,0
-87.8166094,-86.74907261,,,-99.9862353,-86.74907261,-87.8166094,-76.65066419,-76.65066419,-92.22491646,0
-84.79631094,-82.86522361,-78.57572474,-85.45058972,-100.9853386,-82.86522361,-84.79631094,-88.39503891,-88.39503891,,0
-88.98942473,-79.86524875,-95.98832037,-91.86487366,-92.98900852,-79.86524875,-88.98942473,-86.22524216,-86.22524216,,0
-82.01643065,,-90.98926371,,-88.98942473,,-82.01643065,,,-99.9862353,0
-89.79614093,-72.18341081,-87.37378451,-94.44995508,-99.9862353,-72.18341081,-89.79614093,-86.98952633,-86.98952633,-97.98751362,0
-87.19946581,-74.86526603,-86.91669877,,-95.98832037,-74.86526603,-87.19946581,-93.14171307,-93.14171307,,0
-89.98935344,-89.47449974,-92.98900852,-101.9842101,-96.98796321,-89.47449974,-89.98935344,-101.9842101,-101.9842101,-96.98796321,0
-74.97939189,-80.73840263,-92.86477001,,,-80.73840263,-74.97939189,-90.98926371,-90.98926371,-96.22425893,0
-71.22534796,,-90.98926371,,,,-71.22534796,-88.98942473,-88.98942473,,0
-83.45062346,,-82.86522361,-92.01605757,,,-83.45062346,-92.45022301,-92.45022301,-90.98926371,0
-84.53422139,,-88.22517825,,,,-84.53422139,,,-99.9862353,0
-83.30257576,-84.98959044,-84.45060852,,-89.98935344,-84.98959044,-83.30257576,,,-93.53370747,0
-85.19951627,-72.69764247,,-86.18334068,,-72.69764247,-85.19951627,-96.98796321,-96.98796321,,0
-81.85445088,,,-90.98926371,,,-81.85445088,-82.98963089,-82.98963089,-93.98882948,0
